index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,city_lower,solar_potential_score,outage_risk_score,facility_score,final_score,rank
5830,ukrainian canadian care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,60,richview road,M9A5E4,toronto,on,,Toronto,3520005.0,35,43.68434358,-79.51869943,toronto,0.0014282110684630037,0.4201228338403823,0.8,36.85,463
5832,unger nursing homes ltd.  hampton terrace,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L7T1E8,burlington,on,,Burlington,,35,43.3255196,-79.7990319,burlington,0.2,1.0,0.8,67.0,16
5834,union villa,long-term care home,Nursing and residential care facilities,Province of Ontario,,4300,highway 7,L3R1L8,markham,on,,Markham,3519036.0,35,43.86143002,-79.31443048,markham,0.2,0.05,0.8,29.0,758
5835,unison health and community services.,community health centre,Hospitals,Province of Ontario,,12,flemington road,M6A2N4,toronto,on,,Toronto,3520005.0,35,43.71953449,-79.44494411,toronto,0.0011202778695210051,0.33172504401560693,1.0,38.31,393
5837,united achievers community services,community support service,Ambulatory health care services,Province of Ontario,,36,queen street e,L6V1A2,brampton,on,,Brampton,3521010.0,35,43.68689667,-79.75928921,brampton,0.2,0.7162917179644902,0.5,48.15,260
5839,unity health toronto  providence healthcare,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,,,M1L1W1,toronto,on,,Toronto,,35,43.6548253,-79.388447,toronto,0.0015115066305944143,0.3987492227915517,1.0,41.0,325
5840,unity health toronto  reactivation care centre church,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,M9N1N8,toronto,on,,Toronto,,35,43.6548253,-79.388447,toronto,0.0015115066305944143,0.37100626862251,1.0,39.89,340
5841,unity health toronto  st. josephs health centre toronto,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,M6R1B5,toronto,on,,Toronto,,35,43.6548253,-79.388447,toronto,0.0015115066305944143,0.3893870748852401,1.0,40.63,329
5842,unity health toronto  st. michaels hospital,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,M5B1W8,toronto,on,,Toronto,,35,43.6548253,-79.388447,toronto,0.0015115066305944143,0.38820063645601516,1.0,40.58,330
5843,university health network,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,892,dundas street w,M6J1W1,toronto,on,,Toronto,3520005.0,35,43.65127938,-79.41224359,toronto,0.0004897327858546875,0.29039429608198275,0.8,31.63,665
5844,university health network (css),community support service,Ambulatory health care services,Province of Ontario,,190,elizabeth street,M5G2C4,toronto,on,,Toronto,3520005.0,35,43.65839159,-79.38719389,toronto,0.0030713505146481588,0.31739804241289554,0.5,25.3,855
5845,university health network - bickle centre,hospital - site,Hospitals,Province of Ontario,,130,dunn avenue,M6K2R7,toronto,on,,Toronto,3520005.0,35,43.634892,-79.432714,toronto,0.0012024974257898065,0.328329853253239,1.0,38.18,398
